,co2_emissions_tonnes_per_person,poverty_percent_people_below_550_a_day,sp_dyn_le00_in,gini,at_least_basic_sanitation_overall_access_percent,energy_use_per_person,sugar_per_person_g_per_day,gdppercapita_us_inflation_adjusted,smoking_adults_percent_of_population_over_age_15,hepb3_immunized_percent_of_one_year_olds,suicide_per_100000_people,working_hours_per_week,literacy_rate_adult_total_percent_of_people_ages_15_and_above,corruption_perception_index_cpi,government_health_spending_per_person_us,food_supply_kilocalories_per_person_and_day,long_term_unemployment_rate_percent,total_health_spending_per_person_us,alcohol_consumption_per_adult_15plus_litres,at_least_basic_water_source_overall_access_percent
Afghanistan,0.299,,64.0,36.8,39.2,,24.5,618.0,,66.0,,,39.0,15.0,4.39,2090.0,,37.7,0.03,63.0
Albania,1.96,39.1,78.5,29.0,97.7,808.0,131.0,4870.0,22.4,99.0,3.08,40.3,96.8,38.0,94.0,3190.0,6.09,241.0,7.29,91.4
Algeria,3.72,29.2,76.3,27.6,87.5,1320.0,78.2,4830.0,15.2,95.0,,43.7,72.7,33.0,139.0,3300.0,2.15,178.0,0.69,93.5
Andorra,5.83,,,40.0,100.0,,,43900.0,32.9,99.0,,,,,2170.0,,,3100.0,10.2,100.0
Angola,1.29,79.4,61.8,42.6,39.4,545.0,44.7,3480.0,,86.0,,,70.4,19.0,102.0,2470.0,1.56,123.0,5.57,41.0
Antigua and Barbuda,5.38,,76.5,40.0,87.5,1600.0,90.1,13600.0,,99.0,2.4,,99.0,,490.0,2420.0,,690.0,8.17,96.7
Argentina,4.75,7.8,76.7,42.4,94.8,2020.0,132.0,10400.0,30.0,93.0,6.47,37.7,97.9,39.0,405.0,3230.0,1.14,742.0,9.35,99.6
Armenia,1.9,43.5,74.8,32.6,91.6,1020.0,97.4,4220.0,29.6,95.0,1.85,37.9,99.6,35.0,54.2,2930.0,5.4,134.0,13.7,98.9
Australia,15.4,0.7,82.5,32.3,100.0,5480.0,126.0,55900.0,24.8,92.0,11.6,33.4,,77.0,3250.0,3280.0,1.17,4780.0,10.2,100.0
Austria,6.8,0.9,81.6,30.5,100.0,3800.0,124.0,49100.0,43.3,83.0,9.75,35.4,,75.0,3840.0,3770.0,1.44,4960.0,12.4,100.0
Azerbaijan,3.94,7.8,72.1,32.4,89.3,1500.0,50.5,5810.0,,48.0,0.648,36.9,99.8,31.0,67.3,3120.0,2.17,332.0,13.3,84.4
Bahamas,6.32,,75.8,43.7,92.0,2070.0,107.0,26500.0,,95.0,0.623,,,65.0,791.0,2670.0,,1740.0,8.65,97.8
Bahrain,23.4,,77.0,40.0,100.0,10600.0,,22100.0,14.6,99.0,0.541,,94.6,36.0,634.0,,,864.0,4.19,100.0
Bangladesh,0.45899999999999996,84.5,72.8,32.4,46.9,222.0,22.1,1090.0,25.6,96.0,,46.9,57.7,28.0,58.0,2450.0,0.556,,0.17,97.3
Barbados,4.49,,76.1,43.8,96.5,1450.0,160.0,16500.0,10.8,91.0,6.49,,,68.0,652.0,2940.0,,1000.0,6.42,98.1
Belarus,6.69,0.7,74.1,27.0,94.3,2930.0,107.0,6380.0,42.6,98.0,29.5,35.1,99.6,44.0,248.0,3250.0,1.22,320.0,18.9,98.0
Belgium,8.32,0.2,81.4,27.7,99.5,4690.0,144.0,46100.0,27.1,97.0,13.3,36.7,,75.0,3450.0,3730.0,2.01,4620.0,10.4,100.0
Belize,1.41,55.6,70.6,53.3,87.2,597.0,116.0,4320.0,,95.0,8.99,43.0,70.3,,150.0,2750.0,2.29,239.0,5.92,97.1
